name,category,description
야채김밥,김밥,"김밥 속에 신선한 채소와 다양한 재료를 넣어 만든 한국의 전통 음식으로, 건강하고 가볍게 먹을 수 있는 김밥"
치즈김밥,김밥,"전통적인 한국 김밥에 치즈를 추가하여 만든, 고소하고 부드러운 맛이 특징인 인기 있는 변형 김밥"
소고기김밥,김밥,"김밥 속에 신선한 소고기와 다양한 야채, 계란 등의 재료를 넣어 만든 한국의 전통 김밥 "
매콤땡초김밥,김밥,"김밥 속에 매콤한 양념으로 조리한 땡초(고추)와 다양한 야채, 계란 등의 재료를 넣어 만든 한국의 다채로운 맛을 즐길 수 있는 김밥 "
참치마요김밥,김밥,"참치와 마요네즈를 함께 넣어 감칠맛을 더한 김밥으로, 부드러운 식감과 진한 맛을 즐길 수 있는 한국의 인기 김밥"
참치와사비김밥,김밥,신선한 참치와 강렬한 사비(와사비)를 함께 넣어 특유의 신맛과 짭쪼름한 맛을 즐길 수 있는 한국의 대표적인 김밥
매콤오징어김밥,김밥,쫄깃한 오징어를 매콤한 양념으로 조리하여 김밥 속에 넣은 한국의 다채로운 맛과 향을 즐길 수 있는 김밥
신라면,분식,신라면은 매운 소고기 육수 베이스에 다양한 조미료와 건조 야채가 포함된 인기 있는 한국 인스턴트 라면
콩나물라면,분식,쫄깃한 면발에 신선한 콩나물과 다양한 야채가 어우러진 건면과 진한 육수로 만들어진 한국의 인기 라면 
떡라면,분식,"매콤한 라면 육수에 쫄깃한 떡과 함께 끓여 먹는 한국의 대표적인 라면 요리로, 고소하고 특별한 식감을 즐길 수 있는 인기 메뉴"
만두라면,분식,"라면 육수에 맛있는 만두를 함께 끓여 먹는 한국의 대표적인 라면 요리로, 고소한 만두와 매콤한 육수의 조화가 일품인 인기 있는 메뉴"
치즈라면,분식,"매콤한 라면 육수에 부드러운 치즈를 녹여 넣어 먹는 한국의 대표적인 라면 요리로, 진한 맛과 풍부한 치즈 풍미가 일품인 인기 있는 메뉴"
국물떡볶이,분식,쫄깃한 떡과 다양한 재료가 들어간 떡볶이를 진한 양념 국물과 함께 끓여내어 먹는 한국의 대표적인 분식
유부라면,분식,"맑은 육수에 가볍고 바삭한 유부와 면발이 함께 어우러진 일본의 라면 요리로, 가볍고 개운한 맛이 특징인 인기 있는 라면"
후레쉬쫄면,분식,"깃한 면발과 매콤달콤한 소스가 특징인, 빠르고 간편하게 즐길 수 있는 한국식 인스턴트 차가운 면"
부산생생우동,분식,"부드러운 면발과 시원한 육수가 특징인, 한국 부산 지역 특산의 맛을 재현한 인스턴트 우동"
부산어묵탕,분식,"한국 부산 지역의 특산물인 어묵을 주재료로 사용하고, 깊고 시원한 맛의 육수에 다양한 해산물과 채소를 더한 풍부한 맛의 국물 요리"
김치만두,분식,"고기와 김치를 감싼 만두피로 만들어진 한국의 전통 만두로, 고소한 맛과 향긋한 김치 풍미를 즐길 수 있는 인기 있는 안주"
고기만두,분식,"고기와 다양한 야채가 재료로 사용되어 만들어진 만두로, 바삭하고 고소한 피와 함께 부드럽고 진한 고기의 맛을 즐길 수 있는 한국의 전통 만두"
만두국,분식,"맑은 육수에 고기나 채소 등 다양한 재료가 들어간 만두를 넣어 끓여 만든 한국의 전통 국물 요리로, 부드러운 만두와 개운한 국물이 어우러져 있는 대표적인 겨울 음식"
떡국+공기밥,분식,부드러운 떡과 맑은 국물에 싱싱한 채소와 고기가 들어가 푸짐한 국물 요리인 떡국과 밥을 함께 먹는 한국의 전통 음식
떡만두국+공기밥,분식,쫄깃한 떡과 고기가 들어간 만두를 함께 끓여 만든 푸짐한 국물인 떡만두국과 밥을 함께 먹는 한국의 대표적인 겨울 음식
된장찌개,식사,"고추장, 된장, 돼지고기, 두부, 감자, 양파 등을 넣어 끓여 만든 진한 국물요리로, 고소하고 진한 맛이 특징인 한국의 전통 음식"
순두부찌개,식사,"부드러운 순두부와 간장, 고추장 등의 양념을 넣어 끓여 만든 매콤한 국물요리로, 부드럽고 고소한 맛이 특징인 한국의 대표적인 찌개"
돼지김치찌개,식사,"돼지고기와 신선한 김치를 함께 끓여 만든 매운 국물요리로, 고기와 김치의 풍미가 어우러져 진한 맛을 내는 대표적인 한국의 전통 음식"
참치김치찌개,식사,"참치와 신선한 김치를 함께 끓여 만든 매콤하고 진한 국물요리로, 참치의 고소한 맛과 김치의 감칠맛이 어우러져 풍부한 맛을 느낄 수 있는 한국의 전통 음식"
뚝배기불고기,식사,불에 구워 담은 소고기와 채소를 각종 양념과 함께 독특한 뚝배기에 담아 끓여내어 먹는 한국의 전통 음식
갈비탕,식사,"소갈비와 다양한 야채를 함께 끓여 만든 진한 육수로, 고기의 풍미와 건강에 좋은 영양을 함께 즐길 수 있는 대표적인 한국의 고기국요리"
육개장,식사,"고기와 다양한 채소를 함께 넣어 매운 양념으로 조리한 국물요리로, 매콤하고 진한 맛이 특징인 대표적인 한국의 전통 음식"
짜장덮밥,식사,"짜장 소스로 볶은 돼지고기와 야채를 밥 위에 올려 먹는 중국 요리의 변형 버전으로, 짭조름하고 고소한 맛이 일품인 한식 덮밥"
부대찌개+라면사리,식사,"한국의 인기 요리인 풍부한 재료(소시지, 햄, 베이컨, 김치 등)가 들어간 매콤한 국물에 라면 면을 추가한, 맛과 영양이 풍부한 요라"
햄야채볶음밥,식사,"햄과 다양한 야채를 볶아 만든 볶음밥으로, 신선한 재료와 간편한 조리로 맛과 영양을 함께 즐길 수 있는 한국의 인기 요리"
김치볶음밥,식사,"신선한 김치와 다양한 재료를 볶아 만든 볶음밥으로, 고소한 김치 향과 함께 고소하고 매콤한 맛이 일품인 대표적인 한국의 볶음밥 요리"
참치볶음밥,식사,"참치와 다양한 야채를 볶아 만든 볶음밥으로, 고단한 참치의 고소함과 신선한 야채의 풍미가 어우러져 맛과 영양을 동시에 즐길 수 있는 인기 요리"
카레라이스,식사,"카레 소스를 올린 밥 위에 다양한 재료를 올려 고소하고 풍부한 맛을 즐길 수 있는 일본의 인기 요리로, 고기나 채소 등을 함께 조리"
새우볶음밥,식사,"신선한 새우와 다양한 야채를 볶아 만든 볶음밥으로, 바삭한 새우와 고소한 향신료가 어우러져 풍미가 풍부하고 맛있는 한국의 대표적인 볶음밥 요리"
제육덮밥,식사,"달걀이나 양파, 파 등을 넣어 볶은 돼지고기와 고소한 양념을 곁들여 밥 위에 올린 한국의 대표적인 덮밥 요리"
오징어덮밥,식사,"오징어와 다양한 야채를 볶아 만든 양념에 밥을 섞어 먹는 한국의 대표적인 덮밥 요리로, 쫄깃한 오징어와 고소한 양념이 어우러져 맛과 영양을 함께 즐길 수 있는 인기 메뉴"
비빔밥,식사,"색감이 아름답고 다양한 재료를 곁들여 밥 위에 비벼 먹는 한국의 대표적인 밥 요리로, 고추장이나 간장 등의 양념과 함께 고기, 채소, 계란 등을 넣어 맛과 영양을 동시에 즐길 수 있다"
돌솥비빔밥,식사,"뜨거운 돌솥에 밥과 다양한 야채, 고기, 계란 등을 넣어 비벼먹는 한국의 전통 음식으로, 고소하고 진한 맛을 느낄 수 있는 대표적인 한국의 밥 요리"
오므라이스,식사,"볶은 쌀밥 위에 달걀 후라이와 토마토 소스를 올려 먹는 일본의 가정 요리로, 고소한 맛과 부드러운 식감이 특징인 유명한 밥 요리"
등심돈까스,돈까스,"두툼하게 잘라 빵가루와 계란에 묻혀 튀긴 돼지 등심으로, 바삭한 튀김 피부에 속살이 부드럽고 고소한 일본의 가정 요리"
생선까스,돈까스,"생선을 빵가루와 계란에 묻혀 튀겨 바삭하게 만든 일본의 가정 요리로, 고소한 튀김 피부와 속살의 신선한 생선맛이 어우러진 인기 있는 요리"
치즈돈까스,돈까스,"돼지고기를 빵가루와 계란에 묻혀 튀겨 바삭하게 만든 후, 치즈를 얹어 녹인 일본의 가정 요리로, 고소한 치즈와 고기의 조화가 일품인 인기 있는 요리"
수제왕돈까스,돈까스,"손으로 잘라내어 빵가루와 계란을 입혀 튀겨낸 돼지고기로 만든 일본식 돈까스로, 크고 두툼한 고기와 바삭한 튀김이 특징인 고급스러운 요리"
물냉면,계절,"차가운 국물에 쫄깃한 메밀면과 다양한 재료가 함께 들어간 한국의 전통 냉면 요리로, 시원하고 깔끔한 맛을 즐길 수 있는 대표적인 여름 음식"
비빔냉면,계절,"쫄깃한 메밀 면에 매콤달콤한 고추장 기반 소스를 비벼 먹는, 시원하고 상큼한 한국의 여름철 대표 냉면 요리"
